;ref;cliente;contrato;prazo;valor;mes;dia;prob;atraso
0;1,0;0941032;00001000000;13,0;4690,7554523195795;0,0;1,0;0,06;0,0
1;1,0;0307226;00001000001;3,0;3788,0726610926195;0,0;1,0;0,06;0,0
2;1,0;0762568;00001000002;11,0;4904,869143669188;0,0;1,0;0,06;0,0
3;1,0;0755076;00001000003;20,0;4892,292157784223;0,0;1,0;0,06;0,0
4;1,0;0842387;00001000004;31,0;5070,769784287068;0,0;1,0;0,06;0,0
5;1,0;0490747;00001000005;9,0;5131,918804404612;0,0;1,0;0,06;0,0
6;1,0;0411659;00001000006;31,0;4968,083715036069;0,0;1,0;0,06;0,0
7;1,0;0677199;00001000007;32,0;4880,532104168678;0,0;1,0;0,06;0,0
8;1,0;0174802;00001000008;13,0;4848,37413268135;0,0;1,0;0,06;0,0
9;1,0;0311046;00001000009;34,0;5897,769692492474;0,0;1,0;0,06;0,0
10;1,0;0780415;00001000010;14,0;5591,1366084683;0,0;1,0;0,06;0,0
11;1,0;0422919;00001000011;22,0;5606,765161903654;0,0;1,0;0,06;0,0
12;1,0;0434140;00001000012;34,0;7446,002577151251;0,0;1,0;0,06;0,0
13;1,0;0241380;00001000013;6,0;4374,161265670463;0,0;1,0;0,06;0,0
14;1,0;0142990;00001000014;32,0;5166,463984047296;0,0;1,0;0,06;0,0
15;1,0;0130007;00001000015;2,0;4018,129675719241;0,0;1,0;0,06;0,0
16;1,0;0836163;00001000016;34,0;8876,871588911428;0,0;1,0;0,06;0,0
17;1,0;0172657;00001000017;0,0;4,547473508864641e-12;0,0;1,0;0,06;0,0
18;1,0;0045732;00001000018;1,0;3685,802193688552;0,0;1,0;0,06;0,0
19;1,0;0415687;00001000019;10,0;4625,053773985335;0,0;1,0;0,06;0,0
20;1,0;0879391;00001000020;30,0;5547,0301325748505;0,0;1,0;0,06;0,0
21;1,0;0540862;00001000021;20,0;4847,274309471606;0,0;1,0;0,06;0,0
22;1,0;0115775;00001000022;5,0;4268,9451784483235;0,0;1,0;0,06;0,0
23;1,0;0182239;00001000023;24,0;4979,789113558959;0,0;1,0;0,06;0,0
24;1,0;0519910;00001000024;26,0;5315,9596087402915;0,0;1,0;0,06;0,0
25;1,0;0629244;00001000025;33,0;5646,184552627507;0,0;1,0;0,06;0,0
26;1,0;0378638;00001000026;11,0;4624,257094915588;0,0;1,0;0,06;0,0
27;1,0;0273348;00001000027;30,0;4875,28687629057;0,0;1,0;0,06;0,0
28;1,0;0697874;00001000028;8,0;4694,183174362928;0,0;1,0;0,06;0,0
29;1,0;0660846;00001000029;9,0;5110,19617110323;0,0;1,0;0,06;0,0
30;1,0;0367647;00001000030;20,0;4818,3839595319;0,0;1,0;0,06;0,0
31;1,0;0213826;00001000031;25,0;5349,540092093993;0,0;1,0;0,06;0,0
32;1,0;0986224;00001000032;0,0;4,547473508864641e-12;0,0;1,0;0,06;0,0
33;1,0;0580773;00001000033;4,0;4998,740925003618;0,0;1,0;0,06;0,0
34;1,0;0855138;00001000034;19,0;4808,802793732626;0,0;1,0;0,06;0,0
35;1,0;0718857;00001000035;17,0;4888,511981244303;0,0;1,0;0,06;0,0
36;1,0;0473032;00001000036;4,0;4250,8886092925095;0,0;1,0;0,06;0,0
37;1,0;0121302;00001000037;24,0;5741,304768309698;0,0;1,0;0,06;0,0
38;1,0;0087335;00001000038;28,0;6783,679523568556;0,0;1,0;0,06;0,0
39;1,0;0835027;00001000039;9,0;6514,114654763119;0,0;1,0;0,06;0,0
40;1,0;0414117;00001000040;26,0;5425,451856287402;0,0;1,0;0,06;0,0
41;1,0;0413777;00001000041;25,0;5120,002722539684;0,0;1,0;0,06;0,0
42;1,0;0497066;00001000042;4,0;4902,839502181596;0,0;1,0;0,06;0,0
43;1,0;0413120;00001000043;19,0;6950,553771531566;0,0;1,0;0,29200000000000004;29,0
44;1,0;0925490;00001000044;19,0;6714,847556361614;0,0;1,0;0,06;0,0
45;1,0;0924033;00001000045;12,0;4787,642260281595;0,0;1,0;0,06;0,0
46;1,0;0507638;00001000046;18,0;17028,096892937934;0,0;1,0;0,06;0,0
47;1,0;0265512;00001000047;16,0;4809,198416304865;0,0;1,0;0,06;0,0
48;1,0;0200664;00001000048;6,0;4817,454829051039;0,0;1,0;0,06;0,0
49;1,0;0996475;00001000049;11,0;8764,156869570075;0,0;1,0;0,06;0,0
50;1,0;0752470;00001000050;16,0;4753,660188196461;0,0;1,0;0,06;0,0
51;1,0;0677639;00001000051;20,0;5045,77654579567;0,0;1,0;0,29200000000000004;29,0
52;1,0;0792327;00001000052;21,0;5647,40169380273;0,0;1,0;0,06;0,0
53;1,0;0471130;00001000053;21,0;5071,073173286983;0,0;1,0;0,06;0,0
54;1,0;0614059;00001000054;17,0;4802,011946448277;0,0;1,0;0,06;0,0
55;1,0;0526387;00001000055;20,0;12944,542965660341;0,0;1,0;0,29200000000000004;29,0
56;1,0;0262292;00001000056;18,0;4827,491878016819;0,0;1,0;0,06;0,0
57;1,0;0633888;00001000057;24,0;7357,52939155393;0,0;1,0;0,06;0,0
58;1,0;0585681;00001000058;25,0;4870,192466080182;0,0;1,0;0,06;0,0
59;1,0;0167122;00001000059;10,0;12179,868307543624;0,0;1,0;0,06;0,0
60;1,0;0279911;00001000060;23,0;5954,914745889139;0,0;1,0;0,06;0,0
61;1,0;0708308;00001000061;22,0;4841,252936827812;0,0;1,0;0,06;0,0
62;1,0;0236299;00001000062;4,0;9704,643232557442;0,0;1,0;0,06;0,0
63;1,0;0650988;00001000063;16,0;5751,569338542014;0,0;1,0;0,06;0,0
64;1,0;0261701;00001000064;6,0;4445,867141918793;0,0;1,0;0,06;0,0
65;1,0;0858676;00001000065;8,0;4967,557498222039;0,0;1,0;0,06;0,0
66;1,0;0240427;00001000066;17,0;6051,760460387408;0,0;1,0;0,06;0,0
67;1,0;0653223;00001000067;22,0;6750,189254916468;0,0;1,0;0,06;0,0
68;1,0;0311640;00001000068;5,0;4208,014158267962;0,0;1,0;0,06;0,0
69;1,0;0776024;00001000069;19,0;4806,442733968722;0,0;1,0;0,06;0,0
70;1,0;0719115;00001000070;32,0;5135,500953847101;0,0;1,0;0,06;0,0
71;1,0;0002044;00001000071;1,0;2915,657406619787;0,0;1,0;0,06;0,0
72;1,0;0140545;00001000072;14,0;5485,701729788247;0,0;1,0;0,29200000000000004;29,0
73;1,0;0835652;00001000073;10,0;6776,389434182423;0,0;1,0;0,06;0,0
74;1,0;0670009;00001000074;18,0;4790,530905912278;0,0;1,0;0,06;0,0
75;1,0;0037661;00001000075;4,0;4046,4915050957597;0,0;1,0;0,06;0,0
76;1,0;0671916;00001000076;21,0;4882,593824923961;0,0;1,0;0,06;0,0
77;1,0;0863546;00001000077;6,0;4353,467181133674;0,0;1,0;0,06;0,0
78;1,0;0030255;00001000078;9,0;5080,145099425474;0,0;1,0;0,06;0,0
79;1,0;0979316;00001000079;22,0;5509,922768987043;0,0;1,0;0,06;0,0
80;1,0;0726773;00001000080;8,0;4576,973883861056;0,0;1,0;0,29200000000000004;29,0
