ref;cliente;contrato;prazo;valor;mes;dia;prob;atraso
3,0;0231488;00001000000;0,0;5912,030966439836;0,0;1,0;0,06;0,0
3,0;0590411;00001000001;5,0;5419,5352638738905;0,0;1,0;0,06;0,0
3,0;0914899;00001000002;-2,0;5230,48347039759;0,0;1,0;0,06;0,0
3,0;0922816;00001000003;23,0;8336,311501234431;0,0;1,0;0,06;0,0
3,0;0465559;00001000004;13,0;12947,491149983225;0,0;1,0;0,06;0,0
3,0;0838311;00001000005;28,0;5305,522075620822;0,0;1,0;0,06;0,0
3,0;0687355;00001000006;3,0;13936,445007479284;0,0;1,0;0,06;0,0
3,0;0998455;00001000007;18,0;4754,01073465537;0,0;1,0;0,5800000000000001;58,0
3,0;0116704;00001000008;32,0;6974,021706806467;0,0;1,0;0,29200000000000004;29,0
3,0;0628226;00001000009;3,0;8163,505244760361;0,0;1,0;0,156;0,0
3,0;0987696;00001000010;2,0;15199,09881063277;0,0;1,0;0,06;0,0
3,0;0067659;00001000011;13,0;6780,303225643287;0,0;1,0;0,06;0,0
3,0;0897853;00001000012;19,0;5185,5381523956885;0,0;1,0;0,06;0,0
3,0;0654827;00001000013;28,0;9709,419631099972;0,0;1,0;0,06;0,0
3,0;0578737;00001000014;16,0;5592,118812422736;0,0;1,0;0,29200000000000004;29,0
3,0;0996492;00001000015;14,0;5224,66705307206;0,0;1,0;0,06;0,0
3,0;0479932;00001000016;32,0;6446,332908593191;0,0;1,0;0,06;0,0
3,0;0126754;00001000017;24,0;5483,372288805987;0,0;1,0;0,06;0,0
3,0;0152548;00001000018;20,0;4696,673416248847;0,0;1,0;0,5800000000000001;58,0
3,0;0631015;00001000019;12,0;7232,240831751449;0,0;1,0;0,06;0,0
3,0;0082319;00001000020;31,0;5689,159328420017;0,0;1,0;0,06;0,0
3,0;0754498;00001000021;29,0;5543,9712788975;0,0;1,0;0,06;0,0
3,0;0312499;00001000022;22,0;5215,158518402512;0,0;1,0;0,06;0,0
3,0;0418169;00001000023;5,0;5188,048103701576;0,0;1,0;0,06;0,0
3,0;0320263;00001000024;11,0;6859,531014902137;0,0;1,0;0,06;0,0
3,0;0517142;00001000025;19,0;5871,439529979214;0,0;1,0;0,06;0,0
3,0;0968942;00001000026;31,0;5375,002817854429;0,0;1,0;0,06;0,0
3,0;0103057;00001000027;8,0;8244,495958509964;0,0;1,0;0,06;0,0
3,0;0468423;00001000028;18,0;6598,782361600472;0,0;1,0;0,29200000000000004;29,0
3,0;0175265;00001000029;21,0;5252,013218326553;0,0;1,0;0,06;0,0
3,0;0378477;00001000030;21,0;5550,8085492962355;0,0;1,0;0,06;0,0
3,0;0797211;00001000031;18,0;6265,951706478601;0,0;1,0;0,06;0,0
3,0;0991100;00001000032;26,0;6920,940202672085;0,0;1,0;0,06;0,0
3,0;0252456;00001000033;22,0;5976,211323109691;0,0;1,0;0,06;0,0
3,0;0535212;00001000034;26,0;5374,232706268473;0,0;1,0;0,06;0,0
3,0;0531596;00001000035;4,0;6862,943202201417;0,0;1,0;0,06;0,0
3,0;0429583;00001000036;32,0;5322,756189964244;0,0;1,0;0,06;0,0
3,0;0403334;00001000037;-2,0;5183,514721811226;0,0;1,0;0,06;0,0
3,0;0208655;00001000038;12,0;5339,334894013851;0,0;1,0;0,06;0,0
3,0;0078110;00001000039;31,0;5267,779520388447;0,0;1,0;0,06;0,0
3,0;0649025;00001000040;21,0;6205,818337338112;0,0;1,0;0,06;0,0
3,0;0648773;00001000041;26,0;5587,454427425998;0,0;1,0;0,06;0,0
3,0;0503988;00001000042;17,0;4908,136979697687;0,0;1,0;0,06;0,0
3,0;0339965;00001000043;29,0;5178,319582180223;0,0;1,0;0,06;0,0
3,0;0800819;00001000044;3,0;5203,097302848372;0,0;1,0;0,06;0,0
3,0;0711509;00001000045;8,0;6496,212311011767;0,0;1,0;0,06;0,0
3,0;0400823;00001000046;8,0;7867,677163435634;0,0;1,0;0,06;0,0
3,0;0524378;00001000047;-1,0;2711,793886049191;0,0;1,0;0,06;0,0
3,0;0127502;00001000048;22,0;5160,0160861401755;0,0;1,0;0,06;29,0
3,0;0106711;00001000049;15,0;5378,1118153619445;0,0;1,0;0,06;0,0
3,0;0748060;00001000050;22,0;5091,36740839668;0,0;1,0;0,06;0,0
3,0;0312957;00001000051;19,0;6272,672526460205;0,0;1,0;0,06;0,0
3,0;0878478;00001000052;-1,0;5221,001212542583;0,0;1,0;0,06;0,0
3,0;0277192;00001000053;0,0;12873,312223591762;0,0;1,0;0,29200000000000004;29,0
3,0;0481230;00001000054;6,0;6862,5305642940975;0,0;1,0;0,06;0,0
3,0;0224267;00001000055;26,0;5224,946405414169;0,0;1,0;0,06;0,0
3,0;0544756;00001000056;28,0;5628,472856892831;0,0;1,0;0,06;0,0
3,0;0437502;00001000057;6,0;5614,765145473951;0,0;1,0;0,06;0,0
3,0;0235304;00001000058;7,0;8967,664386944918;0,0;1,0;0,06;0,0
3,0;0003942;00001000059;5,0;5237,7368597485;0,0;1,0;0,06;0,0
